"developer","provider_type","program_year","tot_provs_report_developer","tot_provs_report_2015_edition","tot_provs_report_2014_edition","tot_provs_report_2011_edition","product_type"
"3M Health Information Systems","hospital",2011,1,0,0,1,"Commercial"
"Allscripts","hospital",2011,19,0,0,19,"Commercial"
"Aurora Health Care, Inc.","hospital",2011,4,0,0,4,"Self-developed"
"Beth Israel Deaconess Medical Center","hospital",2011,1,0,0,1,"Self-developed"
"Boston Medical Center","hospital",2011,1,0,0,1,"Self-developed"
"Cerner Corporation","hospital",2011,129,0,0,129,"Commercial"
"CPSI (Computer Programs and Systems), Inc.","hospital",2011,132,0,0,132,"Commercial"
"dbMotion","hospital",2011,9,0,0,9,"Commercial"
"Design Clinicals, Inc.","hospital",2011,1,0,0,1,"Commercial"
"eCareSoft, Inc.","hospital",2011,1,0,0,1,"Commercial"
"EHR Doctors, Inc.","hospital",2011,1,0,0,1,"Commercial"
"Empower Systems","hospital",2011,3,0,0,3,"Commercial"
"Epic Systems Corporation","hospital",2011,151,0,0,151,"Commercial"
"EPOWERdoc, Inc.","hospital",2011,1,0,0,1,"Commercial"
"ExitCare, LLC","hospital",2011,10,0,0,10,"Commercial"
"GE Healthcare","hospital",2011,3,0,0,3,"Commercial"
"HCA Information Technology & Services, Inc.","hospital",2011,130,0,0,130,"Self-developed"
"Health Care Systems, Inc.","hospital",2011,13,0,0,13,"Commercial"
"Healthcare Management Systems, Inc.","hospital",2011,23,0,0,23,"Commercial"
"Healthland","hospital",2011,51,0,0,51,"Commercial"
"HealthPort","hospital",2011,1,0,0,1,"Commercial"
"Iatric Systems, Inc.","hospital",2011,9,0,0,9,"Commercial"
"Indian Health Service","hospital",2011,2,0,0,2,"Commercial"
"Institute for Health Metrics","hospital",2011,2,0,0,2,"Commercial"
"LOGICARE Corporation","hospital",2011,1,0,0,1,"Commercial"
"McKesson","hospital",2011,11,0,0,11,"Commercial"
"MEDHOST","hospital",2011,7,0,0,7,"Commercial"
"Medical Information Technology, Inc. (MEDITECH)","hospital",2011,200,0,0,200,"Commercial"
"Medsphere Systems Corporation","hospital",2011,3,0,0,3,"Commercial"
"Midas+ Solutions","hospital",2011,3,0,0,3,"Commercial"
"NextGen Healthcare","hospital",2011,6,0,0,6,"Commercial"
"Northwestern University","hospital",2011,1,0,0,1,"Self-developed"
